Student_ID,Age,Gender,HighSchoolGPA,TestScore,CourseType,AttendanceRatio,StudyHabitsScore,ExtracurricularScore,AcademicPerformance
1915,28,Female,2.69,554,Engineering,0.89,0.16,0.01,Good
1916,23,Male,3.08,275,Science,0.78,0.35,0.49,Good
1917,20,Female,3.62,280,Arts,0.74,0.06,0.07,Poor
1918,25,Male,2.43,428,Arts,0.88,0.2,0.73,Good
1919,26,Male,3.61,271,Engineering,1.0,0.6,0.38,Good
1920,18,Female,2.8,602,Arts,0.64,0.76,0.68,Good
1921,29,Male,2.38,417,Arts,0.77,0.91,0.41,Poor
1922,26,Female,3.52,651,Arts,0.98,0.12,0.63,Poor
1923,23,Male,2.18,566,Engineering,0.65,0.14,0.83,Poor
1924,23,Female,3.03,789,Engineering,0.86,0.94,0.88,Poor
1925,29,Male,2.13,759,Engineering,0.77,0.77,0.02,Average
1926,21,Female,2.71,511,Arts,0.75,0.54,0.65,Poor
1927,18,Male,3.2,497,Engineering,0.68,0.48,0.56,Poor
1928,27,Male,3.11,223,Science,0.67,0.16,0.64,Poor
1929,25,Female,2.81,309,Science,0.81,0.38,0.06,Average
1930,19,Male,2.86,251,Engineering,0.75,0.37,0.07,Poor
1931,29,Female,2.45,489,Engineering,0.8,0.65,0.5,Average
1932,18,Female,2.91,643,Arts,0.68,0.6,0.06,Average
1933,19,Male,3.91,666,Engineering,0.74,0.06,0.78,Poor
1934,18,Male,3.7,458,Engineering,1.0,0.85,0.77,Poor
1935,18,Male,2.29,523,Science,0.75,0.94,0.12,Average
1936,26,Male,2.06,537,Science,0.77,0.78,0.46,Good
1937,18,Female,3.87,755,Science,0.61,0.18,0.59,Average
1938,21,Male,3.05,621,Science,0.75,0.17,0.86,Average
1939,27,Male,3.08,458,Engineering,0.91,0.73,0.99,Poor
1940,23,Male,3.56,264,Science,0.81,0.44,0.02,Poor
1941,24,Female,2.63,362,Arts,0.86,0.78,0.48,Good
1942,19,Male,2.96,363,Arts,0.82,0.08,0.8,Average
1943,23,Female,3.94,238,Engineering,0.64,0.72,0.8,Average
1944,24,Male,3.34,519,Arts,0.73,0.42,0.54,Good
1945,27,Female,2.31,559,Science,0.88,0.03,0.18,Good
1946,27,Male,2.27,468,Science,0.82,0.55,0.56,Average
1947,19,Male,2.41,523,Arts,0.87,0.7,0.39,Average
1948,19,Female,3.53,525,Engineering,0.74,0.53,0.41,Good
1949,27,Male,2.59,786,Science,0.68,0.12,0.33,Poor
1950,24,Male,2.04,456,Science,0.93,0.82,0.14,Average
1951,29,Male,3.89,399,Arts,0.75,0.32,0.74,Average
1952,18,Female,2.34,637,Engineering,0.86,0.92,0.71,Average
1953,25,Male,2.02,303,Engineering,0.75,0.91,0.54,Average
1954,28,Female,2.47,571,Arts,0.97,0.2,0.35,Good
1955,20,Female,2.47,363,Science,1.0,0.48,0.82,Good
1956,28,Female,2.84,312,Arts,0.86,0.14,0.16,Good
1957,23,Male,3.84,748,Arts,0.84,0.68,0.43,Good
1958,26,Female,3.76,305,Arts,0.94,0.85,0.65,Good
1959,23,Female,2.91,563,Science,0.81,0.65,0.82,Poor
1960,26,Male,2.82,220,Science,0.95,0.26,0.65,Poor
1961,24,Female,3.11,328,Arts,0.77,0.08,0.12,Poor
1962,26,Female,2.49,682,Engineering,0.61,0.07,0.1,Poor
1963,19,Male,2.1,398,Arts,0.97,0.61,0.05,Good
1964,29,Male,3.88,720,Science,0.89,0.95,0.56,Good
1965,25,Female,2.37,619,Engineering,0.8,0.7,0.24,Poor
1966,25,Male,2.4,425,Engineering,0.98,0.73,0.16,Good
1967,19,Male,2.94,408,Science,0.95,0.33,0.08,Good
1968,29,Male,2.98,444,Science,0.64,0.59,0.64,Average
1969,21,Female,2.04,487,Arts,0.85,0.32,0.75,Average
1970,28,Female,2.3,265,Science,0.82,0.9,0.86,Poor
1971,24,Male,2.76,352,Engineering,0.91,0.13,0.6,Good
1972,28,Female,3.37,690,Arts,0.72,0.63,0.35,Average
1973,21,Male,2.46,634,Arts,0.6,0.73,0.47,Good
1974,21,Male,2.85,417,Engineering,0.67,0.7,0.64,Average
1975,23,Male,3.11,628,Science,0.68,0.26,0.71,Poor
1976,27,Male,3.78,701,Arts,0.72,0.49,0.64,Good
1977,23,Male,2.65,793,Engineering,0.75,0.66,0.96,Good
1978,27,Female,2.27,420,Engineering,0.88,0.93,0.75,Average
1979,20,Female,2.98,634,Engineering,0.63,0.5,0.75,Poor
1980,26,Female,3.49,479,Science,0.79,0.3,0.82,Average
1981,29,Female,2.22,291,Science,0.8,0.39,0.46,Poor
1982,27,Male,2.85,723,Science,0.85,0.54,0.26,Poor
1983,28,Male,2.04,338,Science,0.72,0.98,0.82,Poor
1984,19,Female,2.07,222,Engineering,0.7,0.63,0.46,Good
1985,23,Female,2.97,616,Arts,0.79,0.15,0.61,Average
1986,29,Male,2.6,547,Engineering,0.86,0.84,0.43,Good
1987,24,Male,3.69,436,Arts,0.62,0.18,0.4,Good
1988,29,Male,3.2,382,Arts,0.72,0.04,0.67,Good
1989,26,Female,2.91,707,Arts,0.91,0.1,0.67,Poor
1990,20,Male,2.82,397,Science,0.79,0.79,0.31,Poor
1991,27,Male,2.99,322,Engineering,0.98,0.9,0.19,Poor
1992,20,Female,2.08,745,Arts,0.95,0.27,0.13,Poor
1993,24,Female,3.79,580,Engineering,0.74,0.5,0.11,Poor
1994,21,Female,4.0,714,Science,0.89,0.6,0.82,Poor
1995,25,Male,2.36,205,Arts,0.71,0.42,0.29,Good
1996,24,Male,2.24,503,Science,0.67,0.07,0.68,Poor
1997,22,Female,2.29,391,Science,0.95,0.06,0.29,Average
1998,24,Male,3.32,575,Engineering,0.74,0.44,0.67,Poor
1999,20,Male,3.32,724,Arts,0.68,0.8,0.98,Good
2000,29,Male,3.7,235,Science,0.99,0.08,0.07,Average
2001,19,Female,3.5,269,Engineering,0.61,0.21,0.65,Good
2002,23,Female,2.9,488,Arts,0.75,0.27,0.28,Good
2003,19,Male,3.23,304,Arts,0.62,0.56,0.08,Average
2004,20,Male,3.38,512,Science,0.8,0.04,0.08,Poor
2005,23,Male,3.03,254,Science,0.76,0.86,0.37,Good
2006,22,Male,2.95,306,Science,0.89,0.47,0.54,Good
2007,25,Female,3.29,506,Science,0.98,0.49,0.65,Average
2008,26,Female,3.11,235,Arts,0.81,0.33,0.57,Poor
2009,28,Male,3.29,332,Science,0.71,0.21,0.9,Average
2010,20,Male,3.23,224,Science,0.95,0.36,0.15,Average
2011,29,Female,3.44,236,Science,0.84,0.91,0.83,Good
2012,27,Male,3.29,218,Arts,0.82,0.09,0.53,Poor
2013,20,Female,3.04,234,Engineering,0.68,0.06,0.86,Good
2014,20,Male,3.36,562,Engineering,0.62,0.11,0.43,Poor
2015,23,Female,2.9,617,Arts,0.78,0.78,0.48,Average
2016,18,Male,2.48,629,Engineering,0.81,0.05,0.42,Poor
2017,24,Male,2.0,717,Arts,0.65,0.33,0.1,Good
2018,29,Female,3.12,666,Science,0.62,0.42,0.15,Poor
2019,18,Female,3.18,398,Engineering,0.69,0.51,0.52,Poor
2020,22,Male,3.94,745,Arts,0.63,0.0,0.53,Good
2021,27,Male,2.72,767,Arts,0.62,0.49,0.47,Good
2022,25,Female,2.79,410,Science,0.78,0.19,0.01,Good
2023,21,Female,2.4,700,Arts,0.92,0.1,0.51,Average
2024,22,Male,2.14,440,Engineering,0.87,0.53,0.13,Good
2025,21,Male,3.55,369,Science,0.87,0.74,0.57,Average
2026,29,Female,2.5,493,Arts,0.7,0.93,0.29,Poor
2027,29,Female,3.22,514,Science,0.6,0.91,0.99,Poor
2028,21,Female,3.38,326,Arts,0.78,0.4,0.36,Good
2029,29,Female,2.94,667,Engineering,0.75,0.7,0.82,Average
2030,25,Female,3.75,566,Engineering,0.98,0.7,0.25,Average
2031,19,Male,2.89,220,Science,0.63,0.41,0.19,Average
2032,18,Male,2.57,515,Arts,0.91,0.1,0.22,Good
2033,20,Female,3.79,289,Science,0.75,0.38,0.33,Good
2034,26,Male,3.72,603,Science,0.93,0.99,0.85,Average
2035,21,Male,2.33,717,Engineering,0.8,0.56,0.76,Poor
2036,27,Female,2.05,650,Science,0.93,0.34,0.44,Poor
2037,22,Male,2.18,349,Arts,0.79,0.74,0.19,Good
2038,19,Male,2.57,645,Engineering,0.76,0.69,0.05,Good
2039,21,Male,3.94,279,Arts,0.99,0.58,0.62,Average
2040,19,Female,3.12,216,Science,0.75,0.64,0.71,Average
2041,19,Female,2.75,337,Engineering,0.92,0.58,0.61,Average
2042,21,Male,3.78,707,Arts,0.63,0.96,0.5,Poor
2043,23,Male,2.91,751,Arts,0.63,0.51,0.97,Average
2044,24,Male,2.63,273,Science,0.78,0.59,0.02,Average
2045,27,Male,3.88,273,Arts,0.83,0.47,0.99,Good
2046,20,Male,3.7,249,Science,0.84,0.6,0.28,Good
2047,20,Male,3.69,209,Science,0.61,0.89,0.38,Average
2048,27,Female,3.02,302,Science,0.88,0.34,0.75,Good
2049,23,Male,3.58,587,Science,0.65,0.5,0.23,Average
2050,29,Male,2.36,584,Engineering,0.98,0.45,0.71,Average
2051,20,Female,3.15,498,Arts,0.73,0.4,0.33,Average
2052,19,Male,3.97,538,Arts,0.7,0.82,0.94,Good
2053,25,Male,2.58,588,Engineering,0.72,0.23,0.17,Average
2054,22,Male,3.59,673,Science,0.97,0.5,0.93,Good
2055,18,Male,2.98,341,Science,0.79,0.92,0.79,Poor
2056,20,Female,2.08,369,Science,0.77,0.16,0.17,Poor
2057,27,Male,3.53,212,Science,0.83,0.0,0.39,Good
2058,25,Female,2.34,648,Engineering,0.97,0.27,0.1,Poor
2059,21,Male,3.26,373,Arts,0.72,0.92,0.6,Poor
2060,24,Male,2.17,331,Science,0.67,0.09,0.96,Poor
2061,27,Female,3.89,739,Science,0.84,0.14,0.08,Average
2062,29,Male,2.58,794,Science,0.8,0.32,0.26,Poor
2063,19,Female,2.45,468,Arts,0.62,0.77,0.76,Average
2064,24,Female,2.26,450,Arts,0.81,0.75,0.46,Good
2065,22,Female,3.89,569,Engineering,0.82,0.09,0.34,Good
2066,22,Male,3.42,725,Arts,0.88,0.93,0.6,Poor
2067,23,Male,3.48,791,Arts,1.0,0.24,0.29,Average
2068,26,Male,3.0,705,Science,0.77,0.28,0.33,Good
2069,23,Male,2.95,377,Arts,0.8,0.39,0.81,Good
2070,29,Female,2.22,746,Science,0.63,0.63,0.39,Average
2071,25,Male,3.12,458,Engineering,0.93,0.52,0.7,Poor
2072,24,Male,2.49,459,Science,0.64,0.93,0.15,Good
2073,26,Female,3.95,334,Engineering,0.97,0.56,0.4,Poor
2074,21,Female,3.59,660,Arts,0.74,0.86,0.55,Poor
2075,19,Male,2.83,688,Engineering,0.74,0.08,0.27,Average
2076,24,Female,2.3,280,Science,0.73,0.86,0.42,Poor
2077,23,Female,3.57,566,Arts,0.98,0.2,0.76,Good
2078,18,Female,2.24,258,Arts,0.99,0.36,0.16,Average
2079,28,Female,2.38,273,Science,0.99,0.32,0.5,Poor
2080,26,Female,2.42,438,Arts,0.88,0.34,0.26,Average
2081,26,Male,3.11,328,Science,0.64,0.92,0.41,Average
2082,29,Male,3.57,611,Engineering,0.75,0.44,0.38,Average
2083,19,Male,2.63,514,Engineering,0.72,0.27,0.66,Poor
2084,20,Male,2.17,573,Arts,0.88,0.29,0.77,Average
2085,22,Male,2.93,636,Science,0.8,0.8,0.5,Poor
2086,22,Male,3.5,337,Science,0.85,0.54,0.17,Average
2087,18,Male,2.44,654,Engineering,0.6,0.45,0.87,Poor
2088,25,Female,2.44,208,Science,0.91,0.93,0.19,Average
2089,29,Male,3.89,431,Arts,0.98,0.93,0.58,Poor
2090,25,Male,3.91,596,Arts,0.87,0.76,0.53,Good
2091,21,Male,3.98,773,Engineering,0.94,0.52,0.29,Good
2092,24,Female,3.62,517,Science,0.79,0.12,0.95,Average
2093,28,Male,2.38,706,Arts,0.61,0.71,0.68,Good
2094,27,Male,2.42,721,Arts,1.0,0.82,0.47,Poor
2095,20,Female,2.68,286,Arts,0.62,0.85,0.44,Good
2096,23,Male,2.64,517,Science,0.68,0.58,0.09,Poor
2097,27,Male,3.91,532,Engineering,0.62,0.62,0.78,Poor
2098,27,Female,3.58,559,Engineering,0.85,0.71,0.08,Good
2099,29,Male,3.45,440,Arts,0.83,0.87,0.2,Good
2100,26,Female,2.37,255,Engineering,0.68,0.05,0.16,Poor
2101,18,Male,3.82,309,Arts,0.98,0.56,0.07,Good
2102,22,Male,3.66,248,Arts,0.97,0.37,0.83,Good
2103,21,Male,2.33,215,Science,0.71,0.83,0.91,Average
2104,25,Female,3.74,272,Arts,0.86,0.13,0.63,Poor
2105,28,Female,2.54,401,Arts,0.94,0.91,0.88,Average
2106,29,Female,2.16,292,Science,0.74,0.12,0.68,Poor
2107,18,Male,3.31,232,Science,0.7,0.09,0.69,Good
2108,26,Male,3.31,799,Engineering,0.7,0.35,0.89,Poor
2109,23,Female,2.19,618,Science,0.93,0.99,0.09,Good
2110,21,Female,2.64,402,Arts,0.79,0.63,0.05,Average
2111,29,Male,3.99,750,Science,0.89,0.03,0.05,Poor
2112,26,Male,3.36,511,Science,0.86,0.25,0.42,Average
2113,28,Male,3.46,668,Engineering,0.72,0.15,0.95,Poor
2114,22,Male,2.43,593,Science,0.68,0.0,0.87,Average
2115,22,Female,2.16,410,Arts,0.65,0.51,0.78,Good
2116,29,Male,2.55,770,Arts,0.61,0.38,0.4,Poor
2117,22,Male,2.5,355,Arts,0.63,0.61,0.82,Average
2118,18,Male,2.47,521,Science,0.7,0.22,0.22,Good
2119,18,Male,2.39,634,Science,0.89,0.83,0.59,Good
2120,25,Male,3.15,773,Arts,0.66,0.38,0.75,Poor
2121,29,Male,2.66,239,Science,0.81,0.48,0.09,Poor
2122,25,Male,3.64,239,Engineering,0.7,0.73,0.87,Poor
2123,29,Female,2.37,652,Engineering,0.8,0.17,0.73,Average
2124,23,Female,2.93,389,Engineering,0.9,0.26,0.53,Good
2125,29,Female,2.03,214,Engineering,0.71,0.15,0.06,Good
2126,28,Male,2.96,323,Arts,0.74,0.77,0.69,Poor
2127,21,Female,2.11,479,Science,0.89,0.1,0.45,Good
2128,19,Male,3.96,247,Engineering,0.82,0.49,0.74,Good
2129,19,Male,3.58,388,Arts,0.64,0.75,0.04,Poor
2130,26,Male,2.98,503,Engineering,0.9,0.51,0.57,Good
2131,22,Male,2.17,758,Science,0.71,0.51,0.45,Good
2132,21,Female,3.18,304,Engineering,0.75,0.06,0.43,Poor
2133,27,Male,3.52,568,Engineering,0.7,0.78,0.52,Average
2134,18,Male,2.38,700,Engineering,0.82,0.6,0.12,Poor
2135,24,Female,3.14,659,Engineering,0.88,0.67,0.94,Good
2136,20,Female,3.63,446,Science,0.92,0.77,0.7,Poor
2137,23,Female,3.54,463,Arts,0.97,0.56,0.08,Poor
2138,22,Male,3.61,405,Engineering,0.74,0.51,0.08,Good
2139,22,Female,3.76,706,Arts,0.97,0.66,0.21,Good
2140,28,Male,3.88,729,Science,0.85,0.9,0.24,Average
2141,22,Male,2.81,563,Science,0.76,0.64,0.49,Average
2142,18,Female,3.14,539,Engineering,0.95,0.79,0.54,Good
2143,18,Female,3.58,606,Arts,0.83,0.48,0.15,Average
2144,20,Female,3.39,652,Engineering,0.78,0.59,0.97,Average
2145,29,Male,3.99,777,Science,0.6,0.18,0.82,Poor
2146,27,Male,2.03,349,Engineering,0.89,0.49,0.63,Poor
2147,21,Male,2.71,392,Engineering,0.63,0.15,0.28,Average
2148,22,Male,2.56,346,Arts,0.72,0.47,0.91,Poor
2149,19,Male,2.52,605,Science,0.98,0.06,0.32,Poor
2150,25,Male,2.45,382,Engineering,0.66,0.58,0.32,Good
2151,28,Female,3.42,305,Engineering,0.72,0.29,0.35,Average
2152,28,Male,2.17,435,Engineering,0.97,0.84,0.05,Average
2153,19,Female,3.48,378,Arts,0.74,0.38,0.06,Good
2154,26,Female,3.39,631,Science,0.73,0.92,0.48,Good
2155,19,Female,2.5,600,Engineering,0.86,0.47,0.88,Good
2156,26,Female,2.51,724,Engineering,0.65,0.85,0.94,Poor
2157,24,Female,3.26,739,Engineering,0.99,0.3,0.78,Good
2158,25,Male,3.52,522,Science,0.71,0.45,0.4,Good
2159,28,Male,3.75,460,Arts,0.91,0.63,0.31,Good
2160,19,Male,3.7,598,Arts,0.72,0.26,0.22,Good
2161,24,Male,3.93,536,Engineering,0.71,0.66,0.54,Poor
2162,29,Female,3.16,499,Engineering,0.62,0.29,0.48,Average
2163,23,Female,3.82,318,Arts,0.65,0.48,0.47,Good
2164,21,Female,3.62,757,Arts,0.81,0.02,0.32,Good
2165,24,Male,3.79,612,Arts,0.83,0.08,0.58,Average
2166,21,Male,2.02,779,Engineering,0.93,0.23,0.61,Average
2167,19,Male,3.93,583,Engineering,0.62,0.81,0.88,Good
2168,27,Male,2.95,679,Arts,0.74,0.66,0.76,Good
2169,29,Female,3.6,504,Arts,0.68,0.89,0.33,Average
2170,24,Female,2.25,395,Science,0.74,0.9,0.38,Good
2171,25,Male,2.79,532,Engineering,0.74,0.37,0.24,Poor
2172,19,Male,2.54,219,Science,0.74,0.37,0.17,Good
2173,22,Female,2.58,632,Arts,0.72,0.84,0.11,Good
2174,18,Female,2.25,625,Engineering,0.91,0.43,0.03,Poor
2175,24,Female,3.61,428,Engineering,0.88,0.86,0.42,Average
2176,25,Female,2.02,723,Science,0.74,0.51,0.96,Average
2177,23,Male,2.63,416,Science,0.66,0.42,0.54,Average
2178,22,Female,2.35,790,Science,0.81,0.28,0.74,Good
2179,23,Female,3.18,574,Science,0.97,0.13,0.4,Average
2180,19,Female,2.51,235,Engineering,0.65,0.53,0.38,Poor
2181,18,Female,2.52,227,Arts,0.9,0.33,0.13,Poor
2182,24,Male,2.98,571,Arts,0.84,0.25,0.3,Good
2183,24,Male,3.31,285,Arts,0.84,0.17,0.93,Average
2184,27,Male,2.24,387,Science,0.97,0.39,0.49,Average
2185,28,Male,2.35,504,Arts,0.98,0.56,0.2,Poor
2186,27,Male,2.49,621,Science,0.7,0.84,0.66,Average
2187,19,Male,3.95,279,Science,0.92,0.82,0.41,Poor
2188,19,Female,2.79,385,Arts,0.85,0.86,0.83,Good
2189,18,Female,3.2,204,Arts,0.76,0.58,0.09,Poor
2190,27,Female,2.48,757,Arts,0.87,0.56,0.52,Average
2191,25,Female,2.98,696,Engineering,0.98,0.91,0.8,Poor
2192,25,Male,2.15,708,Science,0.81,0.29,0.85,Average
2193,18,Female,2.07,201,Engineering,0.98,0.15,0.4,Good
2194,29,Male,2.94,416,Arts,0.86,0.08,0.74,Poor
2195,28,Female,2.8,736,Engineering,0.79,0.88,0.97,Good
2196,25,Female,2.27,456,Engineering,0.86,0.37,0.62,Good
2197,26,Female,3.38,652,Arts,0.84,0.5,0.81,Poor
2198,21,Male,3.99,623,Arts,0.77,0.8,0.57,Poor
2199,18,Female,2.79,523,Science,0.82,0.37,0.79,Poor
2200,18,Male,3.25,698,Science,0.88,0.87,0.94,Good
2201,20,Male,3.93,780,Engineering,0.94,0.32,0.71,Poor
2202,22,Female,3.66,396,Arts,0.72,0.73,0.15,Average
2203,22,Male,2.93,703,Science,0.61,0.67,0.08,Average
2204,26,Male,3.47,471,Science,0.82,0.2,0.81,Average
2205,27,Female,2.26,217,Engineering,0.8,0.12,0.26,Average
2206,29,Female,3.02,306,Engineering,0.62,0.11,0.88,Good
2207,19,Female,2.56,728,Engineering,0.85,0.65,0.2,Good
2208,19,Female,2.32,324,Arts,0.98,0.01,0.91,Good
2209,23,Female,2.85,682,Science,0.76,0.66,0.81,Average
2210,26,Female,2.26,793,Science,0.96,0.78,0.88,Good
2211,18,Male,3.4,203,Science,0.93,0.3,0.23,Good
2212,26,Female,2.91,550,Engineering,0.66,0.75,0.88,Average
2213,26,Female,3.06,550,Arts,0.91,0.17,0.59,Poor
2214,26,Male,2.29,427,Engineering,0.81,0.96,0.08,Good
2215,22,Female,2.28,215,Engineering,0.97,0.23,0.93,Good
2216,26,Male,3.17,624,Arts,0.68,0.49,0.19,Poor
2217,28,Female,3.97,663,Arts,0.65,0.98,0.21,Good
2218,21,Female,2.19,445,Engineering,0.7,0.91,0.7,Average
2219,19,Male,2.57,376,Arts,0.62,0.66,0.58,Poor
2220,23,Female,3.74,742,Engineering,0.73,0.37,0.9,Good
2221,21,Male,2.14,708,Science,0.71,0.7,0.31,Good
2222,23,Female,3.75,761,Arts,0.77,0.46,0.04,Good
2223,20,Female,3.05,763,Science,0.79,0.11,0.99,Good
2224,23,Male,2.82,432,Arts,0.66,0.8,0.31,Average
2225,19,Female,2.62,237,Engineering,0.85,0.87,0.16,Poor
2226,19,Female,2.59,690,Engineering,0.69,0.41,0.98,Average
2227,26,Male,2.61,643,Engineering,0.65,0.67,0.56,Average
2228,24,Female,3.77,219,Engineering,0.88,0.03,0.15,Good
2229,20,Male,3.45,755,Engineering,0.61,0.2,0.84,Good
2230,28,Female,3.34,310,Engineering,0.75,0.57,0.95,Good
2231,18,Male,3.6,686,Arts,0.66,0.27,0.88,Poor
2232,25,Female,2.51,288,Arts,0.95,0.94,0.2,Average
2233,23,Male,3.24,518,Science,0.93,0.84,0.05,Average
2234,24,Male,2.92,317,Arts,0.62,0.66,0.37,Average
2235,26,Female,3.56,633,Arts,0.82,1.0,0.35,Poor
2236,22,Female,2.62,438,Science,0.72,0.24,0.41,Good
2237,18,Male,3.29,271,Science,0.68,0.92,0.8,Good
2238,29,Female,3.76,598,Engineering,0.72,0.3,0.01,Poor
2239,27,Male,2.8,603,Science,0.93,0.6,0.67,Poor
2240,24,Female,2.13,450,Science,0.62,0.43,0.99,Good
2241,22,Female,3.03,394,Arts,0.86,0.44,0.4,Average
2242,20,Male,2.69,771,Engineering,0.97,0.76,0.49,Good
2243,29,Male,3.34,784,Science,0.78,0.35,0.63,Poor
2244,26,Female,3.9,421,Engineering,0.96,0.51,0.29,Poor
2245,18,Female,2.97,381,Engineering,0.96,0.21,0.72,Good
2246,18,Female,2.93,455,Science,0.84,0.76,0.2,Average
2247,18,Female,3.31,287,Science,0.78,0.55,0.06,Poor
2248,20,Female,2.21,691,Science,0.9,0.26,0.8,Poor
2249,29,Male,2.51,535,Science,0.97,0.27,0.18,Poor
2250,23,Female,3.84,737,Engineering,0.87,0.29,0.73,Good
2251,27,Female,3.34,606,Arts,0.68,0.7,0.87,Good
2252,28,Male,2.03,488,Engineering,0.93,0.6,0.05,Poor
2253,20,Male,2.41,561,Engineering,0.98,0.82,0.71,Good
2254,25,Male,3.37,640,Engineering,0.76,0.57,0.65,Average
2255,27,Female,3.53,229,Science,0.88,0.31,0.62,Good
2256,19,Male,3.68,747,Science,0.81,0.96,0.3,Poor
2257,26,Male,2.58,422,Arts,0.64,0.89,0.05,Average
2258,20,Male,3.86,323,Arts,0.74,0.28,0.1,Good
2259,22,Male,3.11,414,Arts,0.67,0.91,0.27,Poor
2260,27,Female,3.39,317,Engineering,0.87,0.72,0.41,Poor
2261,25,Female,3.19,426,Arts,0.83,0.41,0.92,Average
2262,19,Female,2.25,643,Engineering,0.61,0.47,0.68,Good
2263,23,Male,3.93,748,Science,0.62,0.45,0.03,Good
2264,29,Male,2.25,636,Engineering,0.7,0.8,0.92,Good
2265,22,Male,2.51,211,Science,0.9,0.18,0.72,Good
2266,27,Male,3.63,321,Science,0.65,0.06,0.49,Average
2267,26,Male,3.24,746,Arts,0.68,0.5,0.46,Poor
2268,29,Male,3.68,688,Science,0.96,0.29,0.93,Poor
2269,22,Female,3.03,450,Arts,0.82,0.56,0.55,Poor
2270,19,Female,2.75,778,Arts,0.85,0.98,0.5,Good
2271,22,Male,3.84,681,Arts,0.78,0.67,0.77,Good
2272,29,Female,2.07,749,Engineering,0.72,0.96,0.59,Good
2273,21,Male,3.71,479,Arts,0.7,0.73,0.25,Good
2274,28,Male,2.46,536,Arts,0.84,0.08,1.0,Poor
2275,24,Female,3.7,367,Science,0.79,0.89,0.28,Poor
2276,23,Male,2.28,527,Engineering,0.76,0.2,0.68,Average
2277,19,Female,3.16,445,Arts,0.88,0.86,0.49,Average
2278,29,Male,3.78,790,Arts,0.76,0.75,0.12,Good
2279,28,Male,2.95,500,Arts,0.61,0.84,0.96,Average
2280,28,Female,3.49,399,Science,0.94,0.25,0.34,Poor
2281,22,Male,3.61,699,Science,0.73,0.81,0.66,Poor
2282,24,Male,3.47,212,Science,0.98,0.61,0.74,Poor
2283,28,Male,3.85,565,Arts,0.95,0.08,0.39,Poor
2284,24,Female,2.89,296,Arts,0.69,0.89,0.26,Good
2285,22,Male,2.35,270,Arts,0.99,0.88,0.06,Good
2286,29,Male,2.1,556,Arts,0.94,0.57,0.95,Average
2287,26,Male,2.49,743,Arts,0.99,0.45,0.58,Good
2288,21,Female,2.29,449,Science,0.87,0.4,0.72,Average
2289,28,Female,3.12,453,Arts,0.97,0.6,0.47,Poor
2290,20,Female,2.37,381,Engineering,0.88,0.84,0.23,Average
2291,21,Female,2.08,365,Arts,0.94,0.57,1.0,Good
2292,22,Female,2.07,203,Science,0.84,0.13,0.97,Good
2293,23,Male,3.66,662,Arts,0.97,0.31,0.86,Poor
2294,20,Female,3.18,344,Engineering,0.81,0.67,0.92,Good
2295,19,Female,2.72,364,Arts,0.89,0.65,0.58,Poor
2296,21,Male,3.79,543,Engineering,0.97,0.52,0.37,Good
2297,22,Female,2.14,304,Engineering,0.77,0.24,0.34,Poor
2298,21,Male,3.96,747,Science,0.61,0.27,0.93,Average
2299,28,Female,3.23,513,Engineering,0.65,0.48,0.96,Average
2300,29,Male,2.37,368,Arts,0.99,0.39,0.44,Poor
2301,20,Male,3.36,719,Engineering,0.95,0.32,0.61,Average
2302,25,Female,3.53,797,Arts,0.79,0.83,0.81,Good
2303,27,Female,2.86,635,Arts,0.98,0.5,0.7,Poor
2304,21,Male,3.72,711,Arts,0.67,0.5,0.87,Average
2305,19,Male,2.3,608,Arts,0.64,0.43,0.61,Average
2306,19,Male,2.56,635,Science,0.84,0.68,0.58,Good
2307,18,Male,2.19,514,Arts,0.75,0.18,0.38,Average
2308,21,Male,2.42,741,Science,0.74,0.94,0.07,Average
2309,27,Male,2.48,778,Engineering,0.89,0.1,0.06,Poor
2310,26,Male,3.84,262,Arts,0.66,0.71,0.15,Good
2311,28,Female,2.16,231,Engineering,0.91,0.7,0.06,Average
2312,24,Male,2.85,798,Science,0.74,0.11,0.54,Poor
2313,29,Female,3.06,410,Arts,0.99,0.99,0.4,Average
2314,27,Female,3.8,662,Arts,0.92,0.03,0.03,Poor
2315,24,Male,4.0,762,Science,0.86,0.36,0.02,Good
2316,24,Male,3.51,774,Engineering,0.69,0.42,0.52,Good
2317,25,Female,3.94,279,Science,0.98,0.8,0.55,Good
2318,18,Male,3.57,542,Engineering,0.61,0.03,0.04,Average
2319,27,Male,3.93,431,Engineering,0.69,0.56,0.67,Average
2320,27,Female,3.41,328,Engineering,0.61,0.2,0.13,Poor
2321,25,Female,2.16,218,Arts,0.99,0.57,0.49,Good
2322,21,Female,2.8,556,Science,0.95,0.65,0.16,Good
2323,21,Male,3.29,618,Arts,0.98,0.03,0.04,Poor
2324,21,Male,2.7,280,Science,0.89,0.07,0.21,Poor
2325,23,Female,2.55,317,Engineering,0.61,0.09,0.46,Average
2326,24,Male,3.15,693,Arts,0.97,0.85,0.74,Good
2327,23,Female,3.87,691,Arts,0.77,0.93,0.27,Average
2328,18,Male,2.07,424,Arts,0.75,0.44,0.69,Poor
2329,29,Female,3.54,618,Engineering,0.71,0.87,0.86,Good
2330,25,Male,3.45,336,Science,0.71,0.48,0.27,Poor
2331,27,Female,3.93,425,Engineering,0.92,0.4,0.52,Poor
2332,28,Male,3.86,533,Arts,0.7,0.53,0.41,Good
